id	description	section	req	max_loop	max_usage	pos
BGN	Beginning Segment	H	M	0	1	1
DTP	Date Or Time Or Period	H	O	0	999999	2
N1	Party Identification	H	O	999999	1	3
N2	Additional Name Information	H	O	0	2	4
N3	Party Location	H	O	0	2	5
N4	Geographic Location	H	O	0	1	6
REF	Reference Information	H	O	0	5	7
PER	Administrative Communications Contact	H	O	0	999999	8
LM	Code Source Information	H	O	999999	1	9
LQ	Industry Code Identification	H	M	0	999999	10
LX	Transaction Set Line Number	D	M	999999	1	11
ASI	Action Or Status Indicator	D	O	0	1	12
DTP	Date Or Time Or Period	D	O	0	999999	13
NTE	Note/Special Instruction	D	O	0	999999	14
N1	Party Identification	D	O	0	999999	15
REF	Reference Information	D	O	0	999999	16
PCT	Percent Amounts	D	O	0	999999	17
ASM	Amount And Settlement Method	D	O	0	999999	18
LM	Code Source Information	D	O	999999	1	19
LQ	Industry Code Identification	D	O	0	999999	20
PID	Product/Item Description	D	O	999999	1	21
MEA	Measurements	D	O	0	999999	22
QTY	Quantity Information	D	O	0	999999	23
AMT	Monetary Amount Information	D	O	0	999999	24
ASM	Amount And Settlement Method	D	O	0	999999	25
LQ	Industry Code Identification	D	O	999999	1	26
QTY	Quantity Information	D	O	0	999999	27
AMT	Monetary Amount Information	D	O	0	999999	28
LS	Loop Header	S	O	0	1	29
ASM	Amount And Settlement Method	S	O	999999	1	30
REF	Reference Information	S	O	0	1	31
LE	Loop Trailer	S	O	0	1	32
