id	description	section	req	max_loop	max_usage	pos
BLS	Beginning Segment For Asset Schedule	H	M	0	1	1
MSG	Message Text	H	O	0	100	2
CUR	Currency	H	O	0	1	3
N9	Extended Reference Information	H	O	0	999999	4
TXI	Tax Information	H	O	0	7	5
TAX	Tax Reference	H	O	0	5	6
PAM	Period Amount	H	O	0	100	7
ITA	Allowance, Charge Or Service	H	O	0	35	8
DTM	Date/Time Reference	H	O	0	10	9
N1	Party Identification	H	M	100000	1	10
N2	Additional Name Information	H	O	0	2	11
N3	Party Location	H	O	0	2	12
N4	Geographic Location	H	O	0	1	13
N9	Extended Reference Information	H	O	0	999999	14
PER	Administrative Communications Contact	H	O	0	3	15
LS1	Asset Item Identification	H	M	999999	1	16
LIN	Item Identification	H	O	0	1	17
PO3	Additional Item Detail	H	O	0	25	18
PID	Product/Item Description	H	O	0	1000	19
CUR	Currency	H	O	0	1	20
CTP	Pricing Information	H	O	0	5	21
N9	Extended Reference Information	H	O	0	999999	22
TXI	Tax Information	H	O	0	7	23
TAX	Tax Reference	H	O	0	5	24
PAM	Period Amount	H	O	0	25	25
ITA	Allowance, Charge Or Service	H	O	0	35	26
DTM	Date/Time Reference	H	O	0	10	27
AMT	Monetary Amount Information	H	O	0	5	28
N1	Party Identification	H	O	999999	1	29
N2	Additional Name Information	H	O	0	2	30
N3	Party Location	H	O	0	2	31
N4	Geographic Location	H	O	0	1	32
N9	Extended Reference Information	H	O	0	999999	33
PER	Administrative Communications Contact	H	O	0	3	34
TXI	Tax Information	H	O	0	10	35
CTT	Transaction Totals	D	M	0	1	36
AMT	Monetary Amount Information	D	O	0	1	37
