id	description	section	req	max_loop	max_usage	pos
BGN	Beginning Segment	H	M	0	1	1
AMT	Monetary Amount Information	H	M	0	2	2
N1	Party Identification	H	O	10	1	3
N2	Additional Name Information	H	O	0	2	4
N3	Party Location	H	O	0	2	5
N4	Geographic Location	H	O	0	1	6
PER	Administrative Communications Contact	H	O	0	1	7
CS	Contract Summary	D	O	999999	1	8
N9	Extended Reference Information	D	O	0	3	9
DTM	Date/Time Reference	D	O	0	1	10
LM	Code Source Information	D	O	10	1	11
LQ	Industry Code Identification	D	M	0	100	12
REF	Reference Information	D	O	999999	1	13
LX	Transaction Set Line Number	D	O	999999	1	14
N9	Extended Reference Information	D	M	0	1	15
AMT	Monetary Amount Information	D	O	0	999999	16
QTY	Quantity Information	D	O	0	1	17
LM	Code Source Information	D	O	10	1	18
LQ	Industry Code Identification	D	M	0	100	19
N1	Party Identification	D	O	1	1	20
N2	Additional Name Information	D	O	0	2	21
N3	Party Location	D	O	0	2	22
N4	Geographic Location	D	O	0	1	23
N9	Extended Reference Information	D	O	0	2	24
FA1	Type Of Financial Accounting Data	D	O	999999	1	25
FA2	Accounting Data	D	M	0	999999	26
BAL	Balance Detail	D	O	999999	1	27
N9	Extended Reference Information	D	O	0	999999	28
RTE	Rate Information	D	O	0	999999	29
CTT	Transaction Totals	S	O	0	1	30
