id	description	section	req	max_loop	max_usage	pos
BEG	Beginning Segment For Purchase Order	H	M	0	1	1
CUR	Currency	H	O	0	1	2
REF	Reference Information	H	O	0	999999	3
PER	Administrative Communications Contact	H	O	0	3	4
TAX	Tax Reference	H	O	0	999999	5
FOB	F.O.B. Related Instructions	H	O	0	999999	6
CTP	Pricing Information	H	O	0	999999	7
PAM	Period Amount	H	O	0	10	8
CSH	Sales Requirements	H	O	0	5	9
TC2	Commodity	H	O	0	999999	10
SAC	Service, Promotion, Allowance, Or Charge Information	H	O	25	1	11
CUR	Currency	H	O	0	1	12
ITD	Terms Of Sale/Deferred Terms Of Sale	H	O	0	999999	13
DIS	Discount Detail	H	O	0	20	14
INC	Installment Information	H	O	0	1	15
DTM	Date/Time Reference	H	O	0	10	16
LIN	Item Identification	H	O	0	5	17
SI	Service Characteristic Identification	H	O	0	999999	18
PID	Product/Item Description	H	O	0	200	19
MEA	Measurements	H	O	0	40	20
PWK	Paperwork	H	O	0	25	21
PKG	Marking, Packaging, Loading	H	O	0	200	22
TD1	Carrier Details (Quantity And Weight)	H	O	0	2	23
TD5	Carrier Details (Routing Sequence/Transit Time)	H	O	0	999999	24
TD3	Carrier Details (Equipment)	H	O	0	12	25
TD4	Carrier Details (Special Handling Or Hazardous Materials Or Both)	H	O	0	5	26
MAN	Marks And Numbers Information	H	O	0	10	27
PCT	Percent Amounts	H	O	0	999999	28
CTB	Restrictions/Conditions	H	O	0	5	29
TXI	Tax Information	H	O	0	999999	30
LDT	Lead Time	H	O	999999	1	31
QTY	Quantity Information	H	O	0	999999	32
MTX	Text	H	O	0	999999	33
REF	Reference Information	H	O	0	999999	34
AMT	Monetary Amount Information	H	O	999999	1	35
REF	Reference Information	H	O	0	999999	36
DTM	Date/Time Reference	H	O	0	1	37
PCT	Percent Amounts	H	O	0	999999	38
FA1	Type Of Financial Accounting Data	H	O	999999	1	39
FA2	Accounting Data	H	M	0	999999	40
N9	Extended Reference Information	H	O	1000	1	41
DTM	Date/Time Reference	H	O	0	999999	42
MTX	Text	H	O	0	999999	43
PWK	Paperwork	H	O	0	999999	44
EFI	Electronic Format Identification	H	O	0	999999	45
N1	Party Identification	H	O	200	1	46
N2	Additional Name Information	H	O	0	2	47
IN2	Individual Name Structure Components	H	O	0	999999	48
N3	Party Location	H	O	0	2	49
N4	Geographic Location	H	O	0	999999	50
NX2	Location Id Component	H	O	0	999999	51
REF	Reference Information	H	O	0	12	52
PER	Administrative Communications Contact	H	O	0	999999	53
SI	Service Characteristic Identification	H	O	0	999999	54
FOB	F.O.B. Related Instructions	H	O	0	1	55
TD1	Carrier Details (Quantity And Weight)	H	O	0	2	56
TD5	Carrier Details (Routing Sequence/Transit Time)	H	O	0	12	57
TD3	Carrier Details (Equipment)	H	O	0	12	58
TD4	Carrier Details (Special Handling Or Hazardous Materials Or Both)	H	O	0	5	59
PKG	Marking, Packaging, Loading	H	O	0	200	60
LM	Code Source Information	H	O	999999	1	61
LQ	Industry Code Identification	H	M	0	999999	62
SPI	Specification Identifier	H	O	999999	1	63
REF	Reference Information	H	O	0	5	64
DTM	Date/Time Reference	H	O	0	5	65
MTX	Text	H	O	0	999999	66
N1	Party Identification	H	O	20	1	67
