id	description	section	req	max_loop	max_usage	pos
ZC1	Beginning Segment For Data Correction Or Change	H	O	0	1	1
Q5	Status Details	H	M	0	1	2
N7	Equipment Details	H	M	1000	1	3
V4	Cargo Location Reference	H	O	0	1	4
DTM	Date/Time Reference	H	O	0	2	5
M7	Seal Numbers	H	O	0	5	6
W09	Equipment And Temperature	H	O	0	1	7
W2	Equipment Identification	H	O	0	1	8
NA	Cross-Reference Equipment	H	O	0	30	9
GR5	Loading Details	H	O	0	10	10
Y7	Cargo Booking Priority	H	O	0	1	11
V1	Vessel Identification	H	O	0	1	12
R4	Port Or Terminal	H	M	20	1	13
DTM	Date/Time Reference	H	O	0	15	14
H3	Special Handling Instructions	H	O	0	6	15
N1	Party Identification	H	O	10	1	16
N3	Party Location	H	O	0	2	17
N4	Geographic Location	H	O	0	1	18
K1	Remarks	H	O	0	2	19
N9	Extended Reference Information	H	O	0	10	20
L0	Line Item - Quantity And Weight	H	O	999	1	21
L5	Description, Marks And Numbers	H	O	0	1	22
H1	Hazardous Material	H	O	0	3	23
LH1	Hazardous Identification Information	H	O	1000	1	24
LH2	Hazardous Classification Information	H	O	0	4	25
LH3	Hazardous Material Shipping Name Information	H	O	0	10	26
LFH	Free-Form Hazardous Material Information	H	O	0	25	27
LEP	Epa Required Data	H	O	0	3	28
LH4	Canadian Dangerous Requirements	H	O	0	4	29
LHT	Transborder Hazardous Requirements	H	O	0	3	30
LHR	Hazardous Material Identifying Reference Numbers	H	O	0	5	31
PER	Administrative Communications Contact	H	O	0	5	32
L3	Total Weight And Charges	H	O	0	2	33
