id	description	section	req	max_loop	max_usage	pos
BGN	Beginning Segment	H	M	0	1	1
PER	Administrative Communications Contact	H	O	0	5	2
N1	Party Identification	H	M	5	1	3
N2	Additional Name Information	H	O	0	1	4
N3	Party Location	H	O	0	2	5
N4	Geographic Location	H	O	0	1	6
LX	Transaction Set Line Number	D	M	9999	1	7
L11	Business Instructions And Reference Number	D	O	0	5	8
BLR	Transportation Carrier Identification	D	O	0	1	9
SMD	Consolidated Shipment Manifest Data	D	O	0	5	10
OID	Order Information Detail	D	O	0	999999	11
G62	Date/Time	D	O	0	2	12
MSI	Multi-Stop Shipment Information	D	O	0	1	13
QTY	Quantity Information	D	O	25	1	14
AT9	Trailer Or Container Dimension And Weight	D	O	0	1	15
N1	Party Identification	D	O	1	1	16
N2	Additional Name Information	D	O	0	1	17
N3	Party Location	D	O	0	2	18
N4	Geographic Location	D	O	0	1	19
