id	description	section	req	max_loop	max_usage	pos
REN	Rate Request Information	H	M	0	1	1
DK	Docket Header	H	M	0	1	2
PI	Price Authority Identification	H	M	0	8	3
PR	Product (Commodity)	H	O	0	200	4
SS	Docket Control Status	H	O	0	1	5
SA	Status Action	H	M	0	1	6
CD	Shipment Conditions	H	O	0	150	7
GY	Geography	H	O	0	150	8
RAB	Rate Or Minimum Qualifiers	H	O	0	12	9
PT	Patron	H	O	0	50	10
LX	Transaction Set Line Number	H	O	1	1	11
N4	Geographic Location	H	O	0	1	12
PI	Price Authority Identification	H	O	0	15	13
R9	Route Code Identification	H	O	10	1	14
R2B	Junctions And Proportions	H	O	10	1	15
R2C	Division Basis	H	O	0	10	16
SCL	Rate Basis/Scales	H	O	999	1	17
RD	Rate Data	H	O	0	6	18
