id	description	section	req	max_loop	max_usage	pos
BGN	Beginning Segment	H	M	0	1	1
CUR	Currency	H	O	0	1	2
NM1	Individual Or Organizational Name	H	O	9	1	3
N3	Party Location	H	O	0	2	4
N4	Geographic Location	H	O	0	1	5
REF	Reference Information	H	O	0	9	6
PER	Administrative Communications Contact	H	O	0	3	7
ACT	Account Identification	D	M	999999	1	8
AM1	Informational Values	D	O	0	9	9
PWK	Paperwork	D	O	0	1	10
REF	Reference Information	D	O	0	999999	11
PER	Administrative Communications Contact	D	O	0	3	12
DTM	Date/Time Reference	D	O	0	9	13
MSG	Message Text	D	O	0	9	14
YNQ	Yes/No Question	D	O	0	15	15
NTE	Note/Special Instruction	D	O	0	999999	16
NM1	Individual Or Organizational Name	D	M	999999	1	17
N2	Additional Name Information	D	O	0	3	18
LX	Transaction Set Line Number	D	M	999999	1	19
N3	Party Location	D	O	0	3	20
N4	Geographic Location	D	O	0	1	21
ASI	Action Or Status Indicator	D	O	0	1	22
PER	Administrative Communications Contact	D	O	0	3	23
DMG	Demographic Information	D	O	0	1	24
IND	Additional Individual Demographic Information	D	O	0	1	25
CD2	Multi-Valued Characteristics	D	O	0	9	26
MSG	Message Text	D	O	0	9	27
EFI	Electronic Format Identification	D	O	999999	1	28
BIN	Binary Data Segment	D	O	0	1	29
PO1	Baseline Item Data	D	O	999999	1	30
ASI	Action Or Status Indicator	D	O	0	1	31
DMA	Additional Demographic Information	D	O	0	9	32
REF	Reference Information	D	O	0	9	33
DTP	Date Or Time Or Period	D	O	0	9	34
MSG	Message Text	D	O	0	9	35
LS	Loop Header	D	O	0	1	36
LX	Transaction Set Line Number	D	O	999999	1	37
NM1	Individual Or Organizational Name	D	M	0	1	38
N2	Additional Name Information	D	O	0	3	39
NX2	Location Id Component	D	O	0	999999	40
N4	Geographic Location	D	O	0	1	41
REC	Real Estate Condition	D	O	0	1	42
IND	Additional Individual Demographic Information	D	O	0	1	43
EMS	Employment Position	D	O	0	1	44
PER	Administrative Communications Contact	D	O	0	3	45
CN1	Contract Information	D	O	0	1	46
DTP	Date Or Time Or Period	D	O	0	9	47
CD2	Multi-Valued Characteristics	D	O	0	9	48
REF	Reference Information	D	O	0	9	49
PWK	Paperwork	D	O	0	1	50
MSG	Message Text	D	O	0	9	51
AM1	Informational Values	D	O	0	999999	52
LE	Loop Trailer	D	O	0	1	53
