id	description	section	req	max_loop	max_usage	pos
BGN	Beginning Segment	H	M	0	1	1
BPR	Beginning Segment For Payment Order/Remittance Advice	H	O	0	1	2
NTE	Note/Special Instruction	H	O	0	999999	3
TRN	Trace	H	O	0	1	4
CUR	Currency	H	O	0	1	5
REF	Reference Information	H	O	0	999999	6
DTM	Date/Time Reference	H	O	0	999999	7
AD1	Adjustment Amount	H	O	0	999999	8
N1	Party Identification	H	O	999999	1	9
N2	Additional Name Information	H	O	0	2	10
N3	Party Location	H	O	0	2	11
N4	Geographic Location	H	O	0	1	12
REF	Reference Information	H	O	0	999999	13
PER	Administrative Communications Contact	H	O	0	999999	14
NM1	Individual Or Organizational Name	D	M	999999	1	15
N2	Additional Name Information	D	O	0	2	16
IN2	Individual Name Structure Components	D	O	0	999999	17
N3	Party Location	D	O	0	2	18
N4	Geographic Location	D	O	0	1	19
REF	Reference Information	D	O	0	999999	20
DTM	Date/Time Reference	D	O	0	999999	21
AD1	Adjustment Amount	D	O	0	999999	22
MSG	Message Text	D	O	0	999999	23
PAM	Period Amount	D	O	999999	1	24
REF	Reference Information	D	O	0	999999	25
DTM	Date/Time Reference	D	O	0	999999	26
CDS	Case Description	D	O	999999	1	27
REF	Reference Information	D	O	0	999999	28
PAM	Period Amount	D	O	0	999999	29
DTM	Date/Time Reference	D	O	0	999999	30
N1	Party Identification	D	O	999999	1	31
N2	Additional Name Information	D	O	0	2	32
IN2	Individual Name Structure Components	D	O	0	999999	33
N3	Party Location	D	O	0	2	34
N4	Geographic Location	D	O	0	1	35
REF	Reference Information	D	O	0	999999	36
PER	Administrative Communications Contact	D	O	0	999999	37
AMT	Monetary Amount Information	S	O	0	1	38
