id	description	section	req	max_loop	max_usage	pos
BGN	Beginning Segment	H	M	0	1	1
DTM	Date/Time Reference	H	O	0	999999	2
REF	Reference Information	H	O	0	999999	3
NM1	Individual Or Organizational Name	H	M	2	1	4
N2	Additional Name Information	H	O	0	999999	5
IN2	Individual Name Structure Components	H	O	0	999999	6
N3	Party Location	H	O	0	999999	7
N4	Geographic Location	H	O	0	1	8
PER	Administrative Communications Contact	H	O	0	999999	9
REF	Reference Information	H	O	0	999999	10
DTM	Date/Time Reference	H	O	0	999999	11
INI	Incorporation Information	H	O	0	1	12
TC2	Commodity	H	O	0	999999	13
YNQ	Yes/No Question	H	O	0	999999	14
TXI	Tax Information	D	M	999999	1	15
LQ	Industry Code Identification	D	M	0	1	16
REF	Reference Information	D	O	0	999999	17
DTM	Date/Time Reference	D	O	0	999999	18
AMT	Monetary Amount Information	D	O	0	999999	19
QTY	Quantity Information	D	O	0	999999	20
YNQ	Yes/No Question	D	O	0	999999	21
MSG	Message Text	D	O	0	999999	22
LX	Transaction Set Line Number	D	O	999999	1	23
PID	Product/Item Description	D	O	0	1	24
AMT	Monetary Amount Information	D	O	0	999999	25
QTY	Quantity Information	D	O	0	999999	26
REF	Reference Information	D	O	0	999999	27
N1	Party Identification	D	O	999999	1	28
N2	Additional Name Information	D	O	0	1	29
N3	Party Location	D	O	0	999999	30
N4	Geographic Location	D	O	0	1	31
PER	Administrative Communications Contact	D	O	0	999999	32
REF	Reference Information	D	O	0	999999	33
PID	Product/Item Description	D	O	999999	1	34
AMT	Monetary Amount Information	D	O	0	999999	35
QTY	Quantity Information	D	O	0	999999	36
REF	Reference Information	D	O	0	999999	37
