id	description	section	req	max_loop	max_usage	pos
BQT	Beginning Segment For Request For Quotation	H	M	0	1	1
CUR	Currency	H	O	0	1	2
INC	Installment Information	H	O	0	1	3
REF	Reference Information	H	O	0	999999	4
PER	Administrative Communications Contact	H	O	0	3	5
TAX	Tax Reference	H	O	0	3	6
FOB	F.O.B. Related Instructions	H	O	0	999999	7
CTP	Pricing Information	H	O	0	999999	8
PAM	Period Amount	H	O	0	10	9
CSH	Sales Requirements	H	O	0	25	10
SAC	Service, Promotion, Allowance, Or Charge Information	H	O	0	25	11
ITD	Terms Of Sale/Deferred Terms Of Sale	H	O	0	5	12
DIS	Discount Detail	H	O	0	20	13
DTM	Date/Time Reference	H	O	0	10	14
LIN	Item Identification	H	O	0	5	15
PID	Product/Item Description	H	O	0	200	16
MEA	Measurements	H	O	0	40	17
PWK	Paperwork	H	O	0	25	18
PKG	Marking, Packaging, Loading	H	O	0	200	19
TD1	Carrier Details (Quantity And Weight)	H	O	0	2	20
TD5	Carrier Details (Routing Sequence/Transit Time)	H	O	0	12	21
TD3	Carrier Details (Equipment)	H	O	0	12	22
TD4	Carrier Details (Special Handling Or Hazardous Materials Or Both)	H	O	0	5	23
MAN	Marks And Numbers Information	H	O	0	10	24
RRA	Required Response	H	O	0	100	25
CTB	Restrictions/Conditions	H	O	0	999999	26
LDT	Lead Time	H	O	999999	1	27
QTY	Quantity Information	H	O	0	999999	28
MTX	Text	H	O	0	999999	29
N9	Extended Reference Information	H	O	1000	1	30
DTM	Date/Time Reference	H	O	0	999999	31
MTX	Text	H	O	0	999999	32
PWK	Paperwork	H	O	0	999999	33
EFI	Electronic Format Identification	H	O	0	999999	34
N1	Party Identification	H	O	10000	1	35
N2	Additional Name Information	H	O	0	2	36
N3	Party Location	H	O	0	2	37
N4	Geographic Location	H	O	0	999999	38
REF	Reference Information	H	O	0	12	39
PER	Administrative Communications Contact	H	O	0	999999	40
SI	Service Characteristic Identification	H	O	0	999999	41
FOB	F.O.B. Related Instructions	H	O	0	1	42
TD1	Carrier Details (Quantity And Weight)	H	O	0	2	43
TD5	Carrier Details (Routing Sequence/Transit Time)	H	O	0	12	44
TD3	Carrier Details (Equipment)	H	O	0	12	45
TD4	Carrier Details (Special Handling Or Hazardous Materials Or Both)	H	O	0	5	46
PKG	Marking, Packaging, Loading	H	O	0	200	47
RRA	Required Response	H	O	0	25	48
SPI	Specification Identifier	H	O	1	1	49
REF	Reference Information	H	O	0	5	50
DTM	Date/Time Reference	H	O	0	5	51
MTX	Text	H	O	0	999999	52
N1	Party Identification	H	O	20	1	53
N2	Additional Name Information	H	O	0	2	54
N3	Party Location	H	O	0	2	55
N4	Geographic Location	H	O	0	1	56
REF	Reference Information	H	O	0	20	57
G61	Contact	H	O	0	1	58
MTX	Text	H	O	0	999999	59
CB1	Contract And Cost Accounting Standards Data	H	O	999999	1	60
REF	Reference Information	H	O	0	20	61
DTM	Date/Time Reference	H	O	0	5	62
LDT	Lead Time	H	O	0	1	63
MTX	Text	H	O	0	999999	64
PCT	Percent Amounts	H	O	999999	1	65
AMT	Monetary Amount Information	H	O	0	999999	66
ADV	Advertising Demographic Information	H	O	999999	1	67
DTM	Date/Time Reference	H	O	0	999999	68
MTX	Text	H	O	0	999999	69
LM	Code Source Information	H	O	999999	1	70
LQ	Industry Code Identification	H	M	0	999999	71
PO1	Baseline Item Data	D	M	100000	1	72
LIN	Item Identification	D	O	0	999999	73
G53	Maintenance Type	D	O	0	1	74
CUR	Currency	D	O	0	1	75
CN1	Contract Information	D	O	0	1	76
PO3	Additional Item Detail	D	O	0	25	77
CTP	Pricing Information	D	O	0	999999	78
PAM	Period Amount	D	O	0	10	79
CTB	Restrictions/Conditions	D	O	0	999999	80
MEA	Measurements	D	O	0	40	81
PID	Product/Item Description	D	O	1000	1	82
MEA	Measurements	D	O	0	10	83
PWK	Paperwork	D	O	0	25	84
PKG	Marking, Packaging, Loading	D	O	0	200	85
PO4	Item Physical Details	D	O	0	999999	86
REF	Reference Information	D	O	0	999999	87
PER	Administrative Communications Contact	D	O	0	3	88
SAC	Service, Promotion, Allowance, Or Charge Information	D	O	0	25	89
IT8	Conditions Of Sale	D	O	0	25	90
CSH	Sales Requirements	D	O	0	999999	91
ITD	Terms Of Sale/Deferred Terms Of Sale	D	O	0	2	92
DIS	Discount Detail	D	O	0	20	93
INC	Installment Information	D	O	0	1	94
TAX	Tax Reference	D	O	0	3	95
FOB	F.O.B. Related Instructions	D	O	0	999999	96
SDQ	Destination Quantity	D	O	0	50	97
DTM	Date/Time Reference	D	O	0	10	98
FST	Forecast Schedule	D	O	0	999999	99
TD1	Carrier Details (Quantity And Weight)	D	O	0	1	100
TD5	Carrier Details (Routing Sequence/Transit Time)	D	O	0	12	101
TD3	Carrier Details (Equipment)	D	O	0	12	102
TD4	Carrier Details (Special Handling Or Hazardous Materials Or Both)	D	O	0	5	103
MAN	Marks And Numbers Information	D	O	0	10	104
RRA	Required Response	D	O	0	25	105
MTX	Text	D	O	0	999999	106
SPI	Specification Identifier	D	O	0	999999	107
LM	Code Source Information	D	O	999999	1	108
LQ	Industry Code Identification	D	M	0	999999	109
QTY	Quantity Information	D	O	999999	1	110
SI	Service Characteristic Identification	D	O	0	999999	111
SCH	Line Item Schedule	D	O	104	1	112
