id	description	section	req	max_loop	max_usage	pos
B10	Beginning Segment For Transportation Carrier Shipment Status Mess	H	M	0	1	1
MS3	Interline Information	H	O	0	12	2
LX	Transaction Set Line Number	D	M	999999	1	3
L11	Business Instructions And Reference Number	D	O	0	999	4
MAN	Marks And Numbers Information	D	O	0	9999	5
Q7	Lading Exception Status	D	O	0	10	6
K1	Remarks	D	O	0	10	7
AT5	Bill Of Lading Handling Requirements	D	O	0	10	8
AT8	Shipment Weight, Packaging And Quantity Data	D	O	0	10	9
AT7	Shipment Status Details	D	M	10	1	10
MS1	Equipment, Shipment, Or Real Property Location	D	O	0	1	11
MS2	Equipment Or Container Owner And Type	D	O	0	2	12
K1	Remarks	D	O	0	1	13
M7	Seal Numbers	D	O	0	1	14
N1	Party Identification	D	O	5	1	15
N2	Additional Name Information	D	O	0	1	16
N3	Party Location	D	O	0	2	17
N4	Geographic Location	D	O	0	1	18
G62	Date/Time	D	O	0	1	19
L11	Business Instructions And Reference Number	D	O	0	10	20
OID	Order Information Detail	D	O	999999	1	21
SDQ	Destination Quantity	D	O	0	10	22
