id	description	section	req	max_loop	max_usage	pos
BGN	Beginning Segment	H	M	0	1	1
N1	Party Identification	H	O	999999	1	2
N2	Additional Name Information	H	O	0	2	3
N3	Party Location	H	O	0	2	4
N4	Geographic Location	H	O	0	1	5
PER	Administrative Communications Contact	H	O	0	999999	6
REF	Reference Information	H	O	0	999999	7
HL	Hierarchical Level	D	M	999999	1	8
NM1	Individual Or Organizational Name	D	M	999999	1	9
N2	Additional Name Information	D	O	0	2	10
IN2	Individual Name Structure Components	D	O	0	999999	11
N3	Party Location	D	O	0	2	12
N4	Geographic Location	D	O	0	1	13
PER	Administrative Communications Contact	D	O	0	999999	14
REF	Reference Information	D	O	0	999999	15
DTM	Date/Time Reference	D	O	0	999999	16
SPY	Scope Of Power Of Attorney	D	M	999999	1	17
N1	Party Identification	D	O	0	1	18
N2	Additional Name Information	D	O	0	2	19
N3	Party Location	D	O	0	2	20
N4	Geographic Location	D	O	0	1	21
PER	Administrative Communications Contact	D	O	0	999999	22
DTM	Date/Time Reference	D	O	0	999999	23
