id	description	section	req	max_loop	max_usage	pos
BGN	Beginning Segment	H	M	0	1	1
DEF	Delayed Repayment	H	O	0	1	2
DTP	Date Or Time Or Period	H	O	0	5	3
GR	Guarantee Result Detail	H	O	0	1	4
LX	Transaction Set Line Number	H	O	999999	1	5
LQ	Industry Code Identification	H	O	0	1	6
SAD	Student Award Detail	H	O	0	1	7
AMT	Monetary Amount Information	H	O	0	15	8
DTP	Date Or Time Or Period	H	O	0	15	9
YNQ	Yes/No Question	H	O	0	5	10
QTY	Quantity Information	H	O	0	5	11
REF	Reference Information	H	O	0	2	12
ENT	Entity	H	M	6	1	13
NTE	Note/Special Instruction	H	O	0	5	14
ENR	School Enrollment Information	H	O	0	1	15
FNA	Financial Status Information	H	O	0	1	16
AMT	Monetary Amount Information	H	O	0	15	17
MEA	Measurements	H	O	0	2	18
SCT	School Type	H	O	0	8	19
DTP	Date Or Time Or Period	H	O	0	1	20
Y6	Authentication	H	O	0	1	21
IDB	Indebtedness For Student Loans	H	O	0	10	22
N1	Party Identification	H	O	2	1	23
N3	Party Location	H	O	0	2	24
N4	Geographic Location	H	O	0	1	25
REF	Reference Information	H	O	0	10	26
PER	Administrative Communications Contact	H	O	0	2	27
PLI	Previous Loan Information	H	O	10	1	28
N1	Party Identification	H	O	0	2	29
N3	Party Location	H	O	0	2	30
N4	Geographic Location	H	O	0	1	31
IN1	Individual Identification	H	O	10	1	32
IN2	Individual Name Structure Components	H	O	0	5	33
DMG	Demographic Information	H	O	0	1	34
DMA	Additional Demographic Information	H	O	0	1	35
LX	Transaction Set Line Number	H	O	4	1	36
N1	Party Identification	H	O	0	1	37
N3	Party Location	H	O	0	2	38
N4	Geographic Location	H	O	0	1	39
DTP	Date Or Time Or Period	H	O	0	3	40
PER	Administrative Communications Contact	H	O	0	2	41
LM	Code Source Information	H	O	1	1	42
LQ	Industry Code Identification	H	O	0	10	43
