id	description	section	req	max_loop	max_usage	pos
ZC1	Beginning Segment For Data Correction Or Change	H	O	0	1	1
BX	General Shipment Information	H	O	0	1	2
BNX	Rail Shipment Information	H	O	0	1	3
M3	Release	H	M	0	1	4
N9	Extended Reference Information	H	M	0	30	5
CM	Cargo Manifest	H	O	0	2	6
M1	Insurance	H	O	0	1	7
DTM	Date/Time Reference	H	O	0	5	8
N7	Equipment Details	H	M	500	1	9
EM	Equipment Characteristics	H	O	0	1	10
VC	Motor Vehicle Control	H	O	36	1	11
N1	Party Identification	H	O	2	1	12
N3	Party Location	H	O	0	2	13
N4	Geographic Location	H	O	0	1	14
H3	Special Handling Instructions	H	O	0	1	15
M7	Seal Numbers	H	O	0	5	16
N5	Equipment Ordered	H	O	0	1	17
IC	Intermodal Chassis Equipment	H	O	0	1	18
IM	Intermodal Movement Information	H	O	0	1	19
M12	In-Bond Identifying Information	H	O	0	2	20
E1	Empty Car Disposition - Pended Destination Consignee	H	O	2	1	21
E4	Empty Car Disposition - Pended Destination City	H	O	0	1	22
E5	Empty Car Disposition - Pended Destination Route	H	O	0	13	23
PI	Price Authority Identification	H	O	0	1	24
GA	Canadian Grain Information	H	O	0	15	25
REF	Reference Information	H	O	99	1	26
N10	Quantity And Description	H	O	0	15	27
N1	Party Identification	H	O	5	1	28
N3	Party Location	H	O	0	1	29
N4	Geographic Location	H	O	0	1	30
NA	Cross-Reference Equipment	H	O	0	10	31
F9	Origin Station	H	M	0	1	32
D9	Destination Station	H	M	0	1	33
N1	Party Identification	H	M	15	1	34
N2	Additional Name Information	H	O	0	2	35
N3	Party Location	H	O	0	2	36
N4	Geographic Location	H	O	0	1	37
REF	Reference Information	H	O	0	2	38
PER	Administrative Communications Contact	H	O	0	2	39
BL	Billing Information	H	O	0	12	40
S1	Stop-Off Name	H	O	12	1	41
S2	Stop-Off Address	H	O	0	2	42
S9	Stop-Off Station	H	O	0	1	43
N1	Party Identification	H	O	0	1	44
N2	Additional Name Information	H	O	0	1	45
N3	Party Location	H	O	0	1	46
N4	Geographic Location	H	O	0	1	47
PER	Administrative Communications Contact	H	O	0	1	48
R2	Route Information	H	O	0	13	49
R9	Route Code Identification	H	O	0	1	50
E1	Empty Car Disposition - Pended Destination Consignee	H	O	2	1	51
E4	Empty Car Disposition - Pended Destination City	H	O	0	1	52
E5	Empty Car Disposition - Pended Destination Route	H	O	0	13	53
PI	Price Authority Identification	H	O	0	1	54
H3	Special Handling Instructions	H	O	0	20	55
PS	Protective Service Instructions	H	O	0	5	56
LX	Transaction Set Line Number	H	M	25	1	57
L5	Description, Marks And Numbers	H	M	0	15	58
L0	Line Item - Quantity And Weight	H	O	25	1	59
MEA	Measurements	H	O	0	3	60
L1	Rate And Charges	H	O	0	10	61
PI	Price Authority Identification	H	O	0	30	62
X1	Export License	H	O	0	6	63
T1	Transit Inbound Origin	H	O	64	1	64
T2	Transit Inbound Lading	H	O	0	30	65
T3	Transit Inbound Route	H	O	0	12	66
T6	Transit Inbound Rates	H	O	0	1	67
T8	Free-Form Transit Data	H	O	0	99	68
L3	Total Weight And Charges	H	O	0	1	69
LS	Loop Header	H	O	0	1	70
LH1	Hazardous Identification Information	H	O	1000	1	71
LH2	Hazardous Classification Information	H	O	0	4	72
LH3	Hazardous Material Shipping Name Information	H	O	0	10	73
LFH	Free-Form Hazardous Material Information	H	O	0	20	74
LEP	Epa Required Data	H	O	0	3	75
LH4	Canadian Dangerous Requirements	H	O	0	4	76
LHT	Transborder Hazardous Requirements	H	O	0	3	77
LHR	Hazardous Material Identifying Reference Numbers	H	O	0	5	78
PER	Administrative Communications Contact	H	O	0	5	79
N1	Party Identification	H	O	10	1	80
N3	Party Location	H	O	0	2	81
N4	Geographic Location	H	O	0	1	82
PER	Administrative Communications Contact	H	O	0	2	83
LE	Loop Trailer	H	O	0	1	84
PER	Administrative Communications Contact	H	O	0	5	85
LH2	Hazardous Classification Information	H	O	0	6	86
LHR	Hazardous Material Identifying Reference Numbers	H	O	0	1	87
LH6	Hazardous Certification	H	O	0	5	88
XH	Pro Forma - B13 Information	H	O	0	1	89
X7	Customs Information	H	O	0	10	90
