id	description	section	req	max_loop	max_usage	pos
BHT	Beginning Of Hierarchical Transaction	H	M	0	1	1
REF	Reference Information	H	O	0	10	2
NM1	Individual Or Organizational Name	H	O	999999	1	3
N2	Additional Name Information	H	O	0	2	4
N3	Party Location	H	O	0	2	5
N4	Geographic Location	H	O	0	1	6
REF	Reference Information	H	O	0	2	7
PER	Administrative Communications Contact	H	O	0	1	8
HL	Hierarchical Level	D	M	999999	1	9
SBR	Subscriber Information	D	O	0	1	10
PAT	Patient Information	D	O	0	1	11
DMG	Demographic Information	D	O	0	1	12
NM1	Individual Or Organizational Name	D	O	999999	1	13
N3	Party Location	D	O	0	2	14
N4	Geographic Location	D	O	0	1	15
PER	Administrative Communications Contact	D	O	0	1	16
TRN	Trace	D	O	999999	1	17
STC	Status Information	D	O	0	999999	18
REF	Reference Information	D	O	0	9	19
DTP	Date Or Time Or Period	D	O	0	2	20
QTY	Quantity Information	D	O	0	5	21
AMT	Monetary Amount Information	D	O	0	5	22
PWK	Paperwork	D	O	999999	1	23
PER	Administrative Communications Contact	D	O	0	1	24
N1	Party Identification	D	O	0	1	25
N3	Party Location	D	O	0	1	26
N4	Geographic Location	D	O	0	1	27
SVC	Service Information	D	O	999999	1	28
STC	Status Information	D	O	0	999999	29
REF	Reference Information	D	O	0	1	30
DTP	Date Or Time Or Period	D	O	0	1	31
PWK	Paperwork	D	O	999999	1	32
PER	Administrative Communications Contact	D	O	0	1	33
N1	Party Identification	D	O	0	1	34
N3	Party Location	D	O	0	1	35
N4	Geographic Location	D	O	0	1	36
