id	description	section	req	max_loop	max_usage	pos
BGN	Beginning Segment	H	M	0	1	1
N1	Party Identification	H	M	7	1	2
N2	Additional Name Information	H	O	0	1	3
N3	Party Location	H	O	0	1	4
N4	Geographic Location	H	O	0	1	5
REF	Reference Information	H	O	0	1	6
PER	Administrative Communications Contact	H	O	0	1	7
CSI	Claim Status Information	D	M	999999	1	8
NM1	Individual Or Organizational Name	D	M	0	2	9
REF	Reference Information	D	M	0	6	10
N3	Party Location	D	M	0	1	11
N4	Geographic Location	D	M	0	1	12
DTP	Date Or Time Or Period	D	O	0	2	13
INT	Interest	D	O	0	24	14
MIR	Mortgage Insurance Response	D	O	0	1	15
PER	Administrative Communications Contact	D	O	0	5	16
PCT	Percent Amounts	D	O	0	1	17
NTE	Note/Special Instruction	D	O	0	30	18
DFI	Default Information	D	O	1	1	19
DTP	Date Or Time Or Period	D	M	0	19	20
AMT	Monetary Amount Information	D	M	0	4	21
REC	Real Estate Condition	D	O	1	1	22
AMT	Monetary Amount Information	D	O	0	6	23
DTP	Date Or Time Or Period	D	O	0	4	24
FCL	Foreclosure	D	O	1	1	25
DTP	Date Or Time Or Period	D	O	0	5	26
FIS	Mortgage Loan Fiscal Data	D	O	999999	1	27
DTP	Date Or Time Or Period	D	O	0	1	28
MSG	Message Text	D	O	0	1	29
