id	description	section	req	max_loop	max_usage	pos
BGN	Beginning Segment	H	M	0	1	1
DTM	Date/Time Reference	H	M	0	999999	2
TDS	Total Monetary Value Summary	H	O	0	1	3
REF	Reference Information	H	O	0	999999	4
MSG	Message Text	H	O	0	999999	5
N1	Party Identification	H	M	999999	1	6
N2	Additional Name Information	H	O	0	2	7
IN2	Individual Name Structure Components	H	O	0	10	8
N3	Party Location	H	O	0	2	9
N4	Geographic Location	H	O	0	1	10
PER	Administrative Communications Contact	H	O	0	2	11
TFS	Tax Form	D	O	999999	1	12
REF	Reference Information	D	O	0	999999	13
DTM	Date/Time Reference	D	O	0	999999	14
TIA	Tax Information And Amount	D	O	0	999999	15
N1	Party Identification	D	O	999999	1	16
N2	Additional Name Information	D	O	0	2	17
IN2	Individual Name Structure Components	D	O	0	10	18
N3	Party Location	D	O	0	2	19
N4	Geographic Location	D	O	0	1	20
FGS	Form Group	D	O	999999	1	21
REF	Reference Information	D	O	0	999999	22
DTM	Date/Time Reference	D	O	0	999999	23
TIA	Tax Information And Amount	D	O	0	999999	24
MSG	Message Text	D	O	0	999999	25
PCT	Percent Amounts	D	O	0	999999	26
AMT	Monetary Amount Information	D	O	999999	1	27
DTM	Date/Time Reference	D	O	0	999999	28
N1	Party Identification	D	O	999999	1	29
N2	Additional Name Information	D	O	0	2	30
IN2	Individual Name Structure Components	D	O	0	10	31
N3	Party Location	D	O	0	2	32
N4	Geographic Location	D	O	0	1	33
