id	definition
AMM	Ammo Pack
BAG	Bag
BAL	Bale
BBL	Barrel
BDL	Bundle
BEM	Beam
BIC	Bing Chest
BIN	Bin
BKG	Bulk Bag
BLK	Bulk
BOB	Bobbin
BOT	Bottle
BOX	Box
BRG	Barge
BSK	Basket or hamper
BXI	Box, with inner container
BXT	Bucket
CAB	Cabinet
CAG	Cage
CAN	Can
CAR	Carrier
CAS	Case
CBC	Containers of Bulk Cargo
CBY	Carboy
CCS	Can Case
CHE	Cheeses
CHS	Chest
CLD	Car Load, Rail
CNA	Household Goods Containers, Wood
CNB	Container, MAC-ISO (Military Airlift Container - International Standards Organization) Light Weight 8x8x20 Foot Air
CNC	Container, Navy Cargo Transporter
CND	Container, Commercial Highway Lift
CNE	Engine Container
CNF	Multiwall Container Secured to Warehouse Pallet
CNT	Container
CNX	CONEX - Container Express
COL	Coil
CON	Cones
COR	Core
CRD	Cradle
CRT	Crate
CSK	Cask
CTN	Carton
CUB	Cube
CYL	Cylinder
DBK	Dry Bulk
DRK	Double-length Rack
DRM	Drum
DSK	Double-length Skid
DTB	Double-length Tote Bin
DUF	Duffle Bag
ENV	Envelope
FIR	Firkin
FLO	Flo-bin
FLX	Liner Bag Liquid
FRM	Frame
FSK	Flask
FWR	Forward Reel
GOH	Garments on Hangers
HED	Heads of Beef
HGH	Hogshead
HPR	Hamper
HPT	Hopper Truck
HRB	On Hanger or Rack in Boxes
HRK	Half-standard Rack
HTB	Half-Standard Tote Bin
JAR	Jar
JUG	Jug
KEG	Keg
KIT	Kit
KRK	Knockdown Rack
KTB	Knockdown Tote Bin
LBK	Liquid Bulk
LIF	Lifts
LOG	Log
LSE	Loose
LUG	Lug
LVN	Lift Van
MLV	MILVAN - Military Van
MRP	Multi-Roll Pack
MSV	MSCVAN - Military Sealift Command Van
MXD	Mixed Type Pack
NOL	Noil
OVW	Overwrap
PAL	Pail
PCK	Packed - not otherwise specified
PCS	Pieces
PIR	Pims
PKG	Package
PLF	Platform
PLN	Pipeline
PLT	Pallet
POV	Private Vehicle
PRK	Pipe Rack
QTR	Quarter of Beef
RAL	Rail (Semiconductor)
RCK	Rack
REL	Reel
ROL	Roll
RVR	Reverse Reel
SAK	Sack
SBC	Liner Bag Dry
SCS	Suitcase
SHK	Shook
SHT	Sheet
SID	Side of Beef
SKD	Skid
SKE	Skid, elevating or lift truck
SLP	Slip Sheet
SLV	Sleeve
SPI	Spin Cylinders
SPL	Spool
SVN	SEAVAN - Sea Van
TBE	Tube
TBN	Tote Bin
TKR	Tank Car
TKT	Tank Truck
TLD	Intermodal Trailer/Container Load (Rail)
TNK	Tank
TRC	Tierce
TRI	Triwall Box
TRK	Trunk and Chest
TRU	Truck
TRY	Tray
TSS	Trunk, Salesmen Sample
TTC	Tote Can
TUB	Tub
UNP	Unpacked
UNT	Unit
VEH	Vehicles
VPK	Van Pack
WHE	On Own Wheel
WLC	Wheeled Carrier
WRP	Wrapped
