id	definition
01	Actual Pounds
02	Statute Mile
03	Seconds
04	Small Spray
05	Lifts
06	Digits
07	Strand
08	Heat Lots
09	Tire
10	Group
11	Outfit
12	Packet
13	Ration
14	Shot
15	Stick
16	115 Kilogram Drum
17	100 Pound Drum
18	55 Gallon Drum
19	Tank Truck
1A	Car Mile
1B	Car Count
1C	Locomotive Count
1D	Caboose Count
1E	Empty Car
1F	Train Mile
1G	Fuel Usage (Gallons)
1H	Caboose Mile
1I	Fixed Rate
1J	Ton Miles
1K	Locomotive Mile
1L	Total Car Count
1M	Total Car Mile
1N	Count
1O	Season
1P	Tank Car
1Q	Frames
1R	Transactions
1X	Quarter Mile
20	20 Foot Container
21	40 Foot Container
22	Deciliter per Gram
23	Grams per Cubic Centimeter
24	Theoretical Pounds
25	Grams per Square Centimeter
26	Actual Tons
27	Theoretical Tons
28	Kilograms per Square Meter
29	Pounds per 1000 Square Feet
2A	Radians Per Second
2B	Radians Per Second Squared
2C	Roentgen
2F	Volts Per Meter
2G	Volts (Alternating Current)
2H	Volts (Direct Current)
2I	British Thermal Units (BTUs) Per Hour
2J	Cubic Centimeters Per Second
2K	Cubic Feet Per Hour
2L	Cubic Feet Per Minute
2M	Centimeters Per Second
2N	Decibels
2P	Kilobyte
2Q	Kilobecquerel
2R	Kilocurie
2U	Megagram
2V	Megagrams Per Hour
2W	Bin
2X	Meters Per Minute
2Y	Milliroentgen
2Z	Millivolts
30	Horsepower Days per Air Dry Metric Tons
31	Catchweight
32	Kilograms per Air Dry Metric Tons
33	Kilopascal Square Meters per Gram
34	Kilopascals per Millimeter
35	Milliliters per Square Centimeter Second
36	Cubic Feet per Minute per Square Foot
37	Ounces per Square Foot
38	Ounces per Square Foot per 0.01 Inch
39	Basis Points
3B	Megajoule
3C	Manmonth
3E	Pounds Per Pound of Product
3F	Kilograms Per Liter of Product
3G	Pounds Per Piece of Product
3H	Kilograms Per Kilogram of Product
3I	Kilograms Per Piece of Product
40	Milliliter per Second
41	Milliliter per Minute
43	Super Bulk Bag
44	500 Kilogram Bulk Bag
45	300 Kilogram Bulk Bag
46	25 Kilogram Bulk Bag
47	50 Pound Bag
48	Bulk Car Load
4A	Bobbin
4B	Cap
4C	Centistokes
4D	Curie
4E	20-Pack
4F	100-Pack
4G	Microliter
4H	Micrometer
4I	Meters Per Second
4J	Meters Per Second Per Second
4K	Milliamperes
4L	Megabyte
4M	Milligrams Per Hour
4N	Megabecquerel
4O	Microfarad
4P	Newtons Per Meter
4Q	Ounce Inch
4R	Ounce Foot
4S	Pascal
4T	Picofarad
4U	Pounds Per Hour
4V	Cubic Meter Per Hour
4W	Ton Per Hour
4X	Kiloliter Per Hour
