id	definition
AA	Account Analysis (822)
AB	Logistics Service Request (219)
AD	Individual Life, Annuity and Disability Application (267)
AF	Application for Admission to Educational Institutions (189)
AG	Application Advice (824)
AH	Logistics Service Response (220)
AI	Automotive Inspection Detail (928)
AK	Student Educational Record (Transcript) Acknowledgment (131)
AL	Set Cancellation (998) and Application Acceptance/Rejection Advice (499)
AN	Return Merchandise Authorization and Notification (180)
AO	Income or Asset Offset (521)
AR	Warehouse Stock Transfer Shipment Advice (943)
AS	Transportation Appointment Schedule Information (163)
AT	Animal Toxicological Data (249)
AW	Warehouse Inventory Adjustment Advice (947)
BC	Business Credit Report (155)
BE	Benefit Enrollment and Maintenance (834)
BF	Business Entity Filings (105)
BL	Motor Carrier Bill of Lading (211)
BS	Shipment and Billing Notice (857)
CA	Purchase Order Change Acknowledgment/Request - Seller Initiated (865)
CB	Unemployment Insurance Tax Claim or Charge Information (153)
CC	Clauses and Provisions (504)
CD	Credit/Debit Adjustment (812)
CE	Cartage Work Assignment (222)
CF	Corporate Financial Adjustment Information (844 and 849)
CG	Administrative Message (994)
CH	Car Handling Information (420)
CI	Consolidated Service Invoice/Statement (811)
CJ	Manufacturer Coupon Family Code Structure (877)
CK	Manufacturer Coupon Redemption Detail (881)
CM	Component Parts Content (871)
CN	Coupon Notification (887)
CO	Cooperative Advertising Agreements (290)
CP	Electronic Proposal Information (251, 805)
CR	Rail Carhire Settlements (414)
CS	Cryptographic Service Message (815)
CT	Application Control Totals (831)
CV	Commercial Vehicle Safety and Credentials Information Exchange (285)
D3	Contract Completion Status (567)
D4	Contract Abstract (561)
D5	Contract Payment Management Report (568)
DA	Debit Authorization (828)
DD	Shipment Delivery Discrepancy Information (854)
DF	Market Development Fund Allocation (883)
DI	Dealer Information (128)
DM	Shipper's Car Order (422)
DS	Data Status Tracking (242)
DX	Direct Exchange Delivery and Return Information (894, 895)
EC	Educational Course Inventory (188)
ED	Student Educational Record (Transcript) (130)
EI	Railroad Equipment Inquiry or Advice (456)
ER	Revenue Receipts Statement (170)
ES	Notice of Employment Status (540)
EV	Railroad Event Report (451)
EX	Excavation Communication (620)
FA	Functional Acknowledgment (997)
FB	Freight Invoice (859)
FC	Court and Law Enforcement Information (175, 176)
FG	Motor Carrier Loading and Route Guide (217)
FH	Motor Carrier Tariff Information (218)
FR	Financial Reporting (821, 827)
FT	File Transfer (996)
GB	Average Agreement Demurrage (423)
GC	Damage Claim Transaction Sets (920, 924, 925, 926)
GE	General Request, Response or Confirmation (814)
GF	Response to a Load Tender (990)
GL	Intermodal Group Loading Plan (715)
GP	Grocery Products Invoice (880)
GR	Statistical Government Information (152)
GT	Grant or Assistance Application (194)
HB	Eligibility, Coverage or Benefit Information (271)
HC	Health Care Claim (837)
HI	Health Care Services Review Information (278)
HN	Health Care Claim Status Notification (277)
HP	Health Care Claim Payment/Advice (835)
HR	Health Care Claim Status Request (276)
HS	Eligibility, Coverage or Benefit Inquiry (270)
IA	Air Freight Details and Invoice (110, 980)
IB	Inventory Inquiry/Advice (846)
IC	Rail Advance Interchange Consist (418)
ID	Insurance/Annuity Application Status (273)
IE	Insurance Producer Administration (252)
IG	Direct Store Delivery Summary Information (882)
II	Rail Freight Details and Invoice Summary (411)
IJ	Report of Injury, Illness or Incident (148)
IM	Motor Carrier Freight Details and Invoice (210, 980)
IN	Invoice Information (810,819)
IO	Ocean Shipment Billing Details (310, 312, 980)
IP	Intermodal Ramp Activity (622)
IR	Rail Carrier Freight Details and Invoice (410, 980)
IS	Estimated Time of Arrival and Car Scheduling (421)
KM	Commercial Vehicle Credentials (286)
LA	Federal Communications Commission (FCC) License Application (195)
LB	Lockbox (823)
LI	Locomotive Information (436)
LN	Property and Casualty Loss Notification (272)
LR	Logistics Reassignment (536)
LS	Asset Schedule (851)
LT	Student Loan Transfer and Status Verification (144)
MA	Motor Carrier Summary Freight Bill Manifest (224)
