id	definition
15	Speed Restricted to 15 Miles per Hour
25	Speed Restricted to 25 Miles per Hour
35	Speed Restricted to 35 Miles per Hour
45	Speed Restricted to 45 Miles per Hour
AB	Car is Air Brake Controlled
AK	Attachment - Auto Keys
AT	Attachment to Move with Car
AV	Annual Volume
AW	Attachments - Advance Only Waybill
BA	Clearinghouse Balance
BL	Blowable Load
BN	If Bad Ordered Notify Shipper
BW	Bill Shipper for Weigh Charge
CC	Container, Consolidator Load
CD	Attachment - Customer's Document
CE	Cleared for Export
CF	Container, Factory Load
CH	Carrier
CI	Customs Inspection
CM	Attachment - Cotton Manifest
CO	No Marshalling Required for Hazardous Materials
CR	Circus Ramp Only (TOFC Van)
CW	Bill Consignee for Weigh Charges
CX	Top Load Only
CY	Certification that this Shipment is for Recycling as Defined in Applicable Tariffs Containing Such Provisions
DA	Dangerous
DE	Demurrage
DM	Domestic
DN	Shipper Authorization Required for Diversion or Consignment
DR	Drop Yard
DS	Delivery Only on Surrender of Written Order
DT	Dead in Tow
DU	Do Not Uncouple
DV	Equipment
DW	Destination Weights Apply
ED	Excessive Dimensions
EE	Electronic Equipment Transfer
EL	Environmental Control Limits
EP	Expedite
ER	Return Empty Via Reverse Route
EV	Damages Incurred if Shipment Fails to Meet Vessel Loading
EW	Excessive Weight
EX	Explosive Flammable Gas
FA	Face "A-end" to Head of Train
FB	Face "B-end" to Head of Train
FC	Moving Under "For Furtherance Instructions" and May Be Delivered
FD	Full Service
FG	Flammable Gas
FL	Flammable
FP	Flammable Poison Gas
FR	Fragile - Handle with Care
FS	Nontransit Flat Shipment
GI	Grain Inspection
HE	Head End Car
HH	Household
HM	Endorsed as Hazardous Material
HO	Hold for Orders
HP	Heated Prior to Loading
HR	Home for Repair
HT	Heat
HV	High Value Load
HW	High Wide Load
IB	In-bond
IC	Ice
ID	Shipment to be Inspected at Destination and Disposition Instructions will be Furnished
IM	Interoffice Move
IP	Import Shipment
IR	Rail Incentive Rate
IS	Surveillance Service
JS	Junction Settlement Account
LB	Land Bridge (Import/Export)
LC	Car Trip Leased to Consignee
LD	Loading Devices
LF	Loaded to Full Visible Capacity
LN	Less Than Container, Consolidator Load
LP	Protect Lowest Through Rate
LR	Less Than Container, Factory Load
LS	Local Service Only
LT	Less Than Full Carload
MC	Person in Charge of Car
MF	Cleared for Border Crossing
MP	Multiple Pickup
MR	Mechanical Refrigeration
NC	Notify Consignee Before Delivery
ND	Do Not Divert
NE	No Special Entrainment Required
NH	Do Not Hump
NI	New Equipment First Transborder Movement
NP	Do Not Pool
NS	Notify Shipper Before Reconsignment
NT	Do Not Transfer Contents
NW	In Case of Fire Do Not Use Water
NX	Not for Export
OS	Commodity Loaded Less Than or Equal To the Car Ordered
OV	Overweight
PB	Perishable in Box Car
PD	Privately Controlled Private Equipment Subject to Demurrage
PG	Poisonous Gas
PI	Iced Prior to Loading
PS	Product Protection Service
PW	Attachment - Prepaid Waybill
RA	Return Authorization
RB	Render Bill for Charges
RC	Railroad Controlled Private Equipment Subject to Demurrage
RM	Radioactive Material
RO	Rush Order
RR	Rear Rider
RS	Inspect Hourly if Car Stopped
RT	Record for Transit
SB	Shipper Load/Carrier Count
SC	Shove to Rest and Cover
SD	Subject to Special Detention Rules/Charges
SE	Attachment - Shipper's Export Document
SH	Shiftable Load
SI	Ship to Cross Dock or Pool
SK	Requires Shelf Couplers
SM	Attachment - Shipper's Manifest
SP	Attachment - Shipper's Packing Instructions
SR	Speed Restricted
ST	Stack Train
SW	Stretch Wrap
TA	Cars Temporarily Articulated
TC	Trailer, Consolidator Load
TF	Trailer, Factory Load
TN	Turn Car
TS	Transit Shipment
TT	Team Track Delivery
TV	Time Volume Rates Only
UB	Unload at Bumper (Circus Ramp)
UI	Unitized
UL	Unload from Left Side of Car
UN	Unload as Placarded
UP	Unprotected Perishable
UR	Unload from Right Side of Car
US	Shipper Certifies Gross Weight under 240,000 pounds
VN	Verification Weigh
VT	Ventilation Instructions
WB	Wide-Body Pickup Truck (Applies to Finished Vehicle Loading
WD	Waived Inspection - Set Direct
WE	Weigh Empty
WH	Attachments - High Wide Notice
WI	Waive Inspection
WM	Manifest Must Accompany Waybill
WO	Weigh to Check for Overload
WW	Waste Water
XP	Export
XT	Cross Town
045	Advanced Fee
170	Certificate of Origin
510	Offshore - Alaska/Hawaii Service
520	Oversized Premium
550	Preparation of Air Waybill - Origin
555	Preparation of Canadian Customs Invoice
565	Preparation of Export Entry
570	Preparation of Insurance Certificate
585	Preparation of U.S. Export Documentation
665	Saturday Delivery
670	Saturday Pick-Up
675	Security Signature Service
761	Written Proof of Delivery
A1M	Aggregate 1000
A3M	Aggregate 3000
A5M	Aggregate 5000
AAS	Attendants Accompanying
ADL	Advance Loading
AFN	Air Craft Furnished and Not Used
AGG	Aggregate Tender Discount
AGS	Armed Guard Service
AIB	Additional Injection/Blending Service
ALP	Port Changes
ALT	Use of Alternate Terminal
AMM	A.M. Delivery Requirement
ANC	Anchoring and Unanchoring
APD	Additional Copy of Shipping Papers for Proof of Delivery
APL	Appliance Servicing
ARC	Air Conditioning Disconnect and Connect
ARG	Rail Armed Guard Service
ARR	Air Ride Tractor Service
ART	Air Ride Truck Service
ASY	Assembly Service Requested
AUX	Auxiliary Service
BCP	Bypass Consolidation Point
BKA	Bulky Article
BLK	Blocking and Bracing
BLS	Blind Shipment
BNS	Bolster Load, Do Not Switch
